add_module,新增
CATK_CAR_LOG_ANPS,Log - ANPS
CATK_CAR_LOG_ATG,Log - ATG
CATK_CAR_LOG_BIOPTRO,Log - NIOPTRO
CATK_CAR_LOG_CURCUIT_LINE,Log - CIRCUIT LINE
CATK_CAR_LOG_EMMA,Log - EMMA
CATK_CAR_LOG_FOREVER,Log - FOREVER
CATK_CAR_LOG_HIOKI,Log - HIOKI
CATK_CAR_LOG_JOINT_STARS,Log - JOINT STARS
CATK_CAR_LOG_KM,Log - KM
CATK_CAR_LOG_LEENO,Log - LEENO
CATK_CAR_LOG_LM,Log - LM
CATK_CAR_LOG_LM1000,Log - LM1000
CATK_CAR_LOG_MANIA,Log - MANIA
CATK_CAR_LOG_MASON,Log - MASON
CATK_CAR_LOG_NEW_READ,Log - New READ
CATK_CAR_LOG_READ,Log - READ
CATK_CAR_LOG_SEICA,Log - SEICA
CATK_CAR_LOG_SINK,Log - SINK
CATK_CAR_LOG_TTI,Log - TTI
CATK_CAR_LOG_UTRON,Log - UTRON
CATK_CAR_LOG_UTRON_TXT,Log - UTRON TXT
CATK_CAR_LOG_WIDE,Log - WIDE
CATK_CAR_NEW_EZCAT,2010 New EzCAT
CATK_CAR_PRODUCT,EzCAR
CATK_CAR_SHARE_GRID,Share Grid EzCAR
CATK_CAR_VIDEO_IMAGE_DISPLAY,Video image display
CATK_CDGF,CDGF
CATK_CDGM,CDGM
CATK_CDGU,CDGU
CATK_CDGU_OFFSET_COPY,多次平移複製
CATK_CDGU_OUTPUT_CL_OD,輸出 Circuit line OD 測試程式
CATK_FIX,EzFixture
CATK_FIX_4W,4-四線式測試
CATK_FIX_4W_HIOKI_OUTPUT,4-四線式 Hioki 輸出
CATK_FIX_4W_MIYACHI_OUTPUT,賜安 OHT (Miyachi)
CATK_FIX_4W_RESISTANCE,4-四線式計算阻抗
CATK_FIX_4W_YAMAHA_FLYING_OUTPUT,4W output (YAMAHA)
CATK_FIX_AGENT_EST_ID,Agent ID - EST
